['Time':2016-07-31 00:35:36,'Commit:'onlineDuration]{682.5}
['Time':2016-07-31 00:35:41,'Commit:'onlineDuration]{0}
['Time':2016-07-31 00:36:16,'Commit:'onlineDuration]{0}
['Time':2016-07-31 00:36:18,'Commit:'onlineDuration]{0}
['Time':2016-07-31 00:36:37,'Commit:'openTeam]{250}
['Time':2016-07-31 00:36:38,'Commit:'onlineDuration]{0}
['Time':2016-07-31 00:37:04,'Commit:'onlineDuration]{0}
['Time':2016-07-31 09:29:50,'Commit:'onlineDuration]{175}
['Time':2016-07-31 09:29:57,'Commit:'onlineDuration]{0}
['Time':2016-07-31 09:30:04,'Commit:'onlineDuration]{0}
['Time':2016-07-31 09:31:29,'Commit:'onlineDuration]{35}
['Time':2016-07-31 09:31:56,'Commit:'onlineDuration]{0}
['Time':2016-07-31 09:32:12,'Commit:'onlineDuration]{0}
['Time':2016-07-31 09:32:45,'Commit:'onlineDuration]{0}
['Time':2016-07-31 09:33:24,'Commit:'onlineDuration]{0}
['Time':2016-07-31 09:33:37,'Commit:'onlineDuration]{0}
['Time':2016-07-31 09:33:43,'Commit:'onlineDuration]{0}
['Time':2016-07-31 09:33:44,'Commit:'onlineDuration]{0}
['Time':2016-07-31 11:44:44,'Commit:'onlineDuration]{2121}
['Time':2016-07-31 11:45:18,'Commit:'onlineDuration]{0}
['Time':2016-07-31 11:50:28,'Commit:'onlineDuration]{210}
['Time':2016-07-31 11:50:57,'Commit:'onlineDuration]{0}
['Time':2016-07-31 11:52:00,'Commit:'onlineDuration]{42}
['Time':2016-07-31 11:52:18,'Commit:'onlineDuration]{0}
['Time':2016-07-31 11:52:30,'Commit:'onlineDuration]{0}
['Time':2016-07-31 11:52:31,'Commit:'onlineDuration]{0}
['Time':2016-07-31 11:52:39,'Commit:'onlineDuration]{0}
['Time':2016-07-31 11:52:51,'Commit:'onlineDuration]{0}
['Time':2016-07-31 11:53:02,'Commit:'onlineDuration]{0}
['Time':2016-07-31 11:53:10,'Commit:'onlineDuration]{0}
['Time':2016-07-31 11:53:34,'Commit:'onlineDuration]{0}
['Time':2016-07-31 11:54:04,'Commit:'onlineDuration]{0}
['Time':2016-07-31 11:54:10,'Commit:'onlineDuration]{0}
['Time':2016-07-31 11:54:19,'Commit:'onlineDuration]{0}
['Time':2016-07-31 17:55:49,'Commit:'onlineDuration]{1750}
['Time':2016-07-31 18:12:11,'Commit:'onlineDuration]{700}
['Time':2016-07-31 19:11:20,'Commit:'onlineDuration]{3311}
