['Time':2016-09-12 20:02:00,'Commit:'onlineDuration]{5992}
['Time':2016-09-12 22:28:33,'Commit:'onlineDuration]{280}
['Time':2016-09-12 22:33:03,'Commit:'onlineDuration]{280}
['Time':2016-09-12 22:33:44,'Commit:'onlineDuration]{0}
['Time':2016-09-12 22:33:48,'Commit:'onlineDuration]{0}
['Time':2016-09-12 22:34:00,'Commit:'onlineDuration]{0}
['Time':2016-09-12 22:35:29,'Commit:'onlineDuration]{70}
['Time':2016-09-12 22:35:47,'Commit:'onlineDuration]{0}
['Time':2016-09-12 22:35:52,'Commit:'onlineDuration]{0}
['Time':2016-09-12 22:35:56,'Commit:'onlineDuration]{0}
['Time':2016-09-12 22:36:00,'Commit:'onlineDuration]{0}
['Time':2016-09-12 22:36:23,'Commit:'onlineDuration]{0}
['Time':2016-09-12 22:36:41,'Commit:'onlineDuration]{0}
['Time':2016-09-12 22:36:57,'Commit:'onlineDuration]{0}
['Time':2016-09-12 22:37:06,'Commit:'onlineDuration]{0}
['Time':2016-09-12 22:37:27,'Commit:'onlineDuration]{0}
['Time':2016-09-12 22:37:41,'Commit:'onlineDuration]{0}
['Time':2016-09-12 22:37:52,'Commit:'onlineDuration]{0}
['Time':2016-09-12 22:46:23,'Commit:'onlineDuration]{1540}
['Time':2016-09-12 22:52:17,'Commit:'onlineDuration]{980}
['Time':2016-09-12 23:25:32,'Commit:'onlineDuration]{3640}
['Time':2016-09-12 23:30:34,'Commit:'onlineDuration]{3150}
