['Time':2016-09-05 00:02:37,'Commit:'onlineDuration]{2030}
['Time':2016-09-05 19:28:23,'Commit:'onlineDuration]{1078}
['Time':2016-09-05 20:20:03,'Commit:'onlineDuration]{952}
['Time':2016-09-05 20:23:24,'Commit:'onlineDuration]{168}
['Time':2016-09-05 20:23:47,'Commit:'onlineDuration]{0}
['Time':2016-09-05 20:24:19,'Commit:'onlineDuration]{0}
['Time':2016-09-05 20:24:43,'Commit:'onlineDuration]{0}
['Time':2016-09-05 20:24:59,'Commit:'onlineDuration]{0}
['Time':2016-09-05 20:38:00,'Commit:'onlineDuration]{672}
['Time':2016-09-05 20:38:18,'Commit:'onlineDuration]{0}
['Time':2016-09-05 20:39:30,'Commit:'onlineDuration]{56}
['Time':2016-09-05 21:11:19,'Commit:'onlineDuration]{3073}
['Time':2016-09-05 21:11:20,'Commit:'onlineDuration]{3073}
['Time':2016-09-05 22:08:46,'Commit:'onlineDuration]{70}
['Time':2016-09-05 22:08:51,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:09:11,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:14:39,'Commit:'onlineDuration]{350}
['Time':2016-09-05 22:15:00,'Commit:'onlineDuration]{490}
['Time':2016-09-05 22:15:01,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:15:43,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:15:49,'Commit:'openTeam]{190}
['Time':2016-09-05 22:15:55,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:16:07,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:16:09,'Commit:'openTeam]{190}
['Time':2016-09-05 22:16:16,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:16:26,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:16:38,'Commit:'openTeam]{190}
['Time':2016-09-05 22:18:59,'Commit:'onlineDuration]{140}
['Time':2016-09-05 22:19:00,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:19:01,'Commit:'openTeam]{190}
['Time':2016-09-05 22:19:13,'Commit:'openTeam]{190}
['Time':2016-09-05 22:20:50,'Commit:'onlineDuration]{350}
['Time':2016-09-05 22:20:54,'Commit:'onlineDuration]{70}
['Time':2016-09-05 22:20:57,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:21:39,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:22:48,'Commit:'onlineDuration]{70}
['Time':2016-09-05 22:23:21,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:25:57,'Commit:'onlineDuration]{280}
['Time':2016-09-05 22:26:12,'Commit:'onlineDuration]{140}
['Time':2016-09-05 22:28:12,'Commit:'onlineDuration]{70}
['Time':2016-09-05 22:29:02,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:29:48,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:29:54,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:30:12,'Commit:'onlineDuration]{0}
['Time':2016-09-05 22:30:58,'Commit:'onlineDuration]{0}
