['Time':2016-06-18 08:48:27,'Commit:'onlineDuration]{420}
['Time':2016-06-18 09:07:54,'Commit:'onlineDuration]{1890}
['Time':2016-06-18 09:54:06,'Commit:'onlineDuration]{525}
['Time':2016-06-18 09:55:17,'Commit:'onlineDuration]{35}
['Time':2016-06-18 10:30:38,'Commit:'onlineDuration]{490}
['Time':2016-06-18 10:33:54,'Commit:'onlineDuration]{105}
['Time':2016-06-18 10:34:00,'Commit:'onlineDuration]{}
['Time':2016-06-18 10:34:43,'Commit:'onlineDuration]{}
['Time':2016-06-18 10:34:47,'Commit:'onlineDuration]{}
['Time':2016-06-18 10:35:21,'Commit:'onlineDuration]{}
['Time':2016-06-18 10:44:28,'Commit:'onlineDuration]{315}
['Time':2016-06-18 11:34:20,'Commit:'onlineDuration]{210}
['Time':2016-06-18 12:05:49,'Commit:'onlineDuration]{2460.5}
['Time':2016-06-18 12:05:52,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:05:56,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:06:09,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:06:12,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:06:16,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:06:26,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:06:33,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:06:37,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:06:40,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:06:51,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:06:52,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:06:54,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:08:09,'Commit:'onlineDuration]{45.5}
['Time':2016-06-18 12:09:03,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:09:14,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:09:16,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:09:30,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:09:37,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:09:49,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:09:57,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:15:21,'Commit:'onlineDuration]{227.5}
['Time':2016-06-18 12:15:36,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:15:37,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:17:56,'Commit:'onlineDuration]{91}
['Time':2016-06-18 12:18:06,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:18:27,'Commit:'onlineDuration]{}
['Time':2016-06-18 12:28:06,'Commit:'onlineDuration]{409.5}
['Time':2016-06-18 13:23:17,'Commit:'onlineDuration]{35}
['Time':2016-06-18 13:23:59,'Commit:'onlineDuration]{}
['Time':2016-06-18 13:39:53,'Commit:'onlineDuration]{525}
