['Time':2016-06-01 00:10:25,'Commit:'onlineDuration]{455}
['Time':2016-06-01 00:10:46,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:11:22,'Commit:'onlineDuration]{280}
['Time':2016-06-01 20:25:53,'Commit:'onlineDuration]{112}
['Time':2016-06-01 20:30:58,'Commit:'onlineDuration]{280}
['Time':2016-06-01 20:34:22,'Commit:'onlineDuration]{168}
['Time':2016-06-01 20:36:49,'Commit:'onlineDuration]{112}
['Time':2016-06-01 20:42:15,'Commit:'onlineDuration]{280}
['Time':2016-06-01 20:42:45,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:47:12,'Commit:'onlineDuration]{224}
['Time':2016-06-01 20:47:13,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:47:15,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:47:54,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:48:52,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:48:59,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:49:22,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:49:28,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:49:41,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:50:08,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:50:30,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:51:20,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:52:27,'Commit:'onlineDuration]{56}
['Time':2016-06-01 20:53:12,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:53:25,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:53:37,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:55:07,'Commit:'onlineDuration]{56}
['Time':2016-06-01 20:56:08,'Commit:'onlineDuration]{56}
['Time':2016-06-01 20:56:15,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:56:21,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:56:26,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:56:47,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:56:59,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:57:07,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:58:12,'Commit:'onlineDuration]{56}
['Time':2016-06-01 20:59:35,'Commit:'onlineDuration]{56}
['Time':2016-06-01 20:59:38,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:59:42,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:59:45,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:59:48,'Commit:'onlineDuration]{}
['Time':2016-06-01 20:59:51,'Commit:'onlineDuration]{}
['Time':2016-06-01 21:02:50,'Commit:'onlineDuration]{126}
['Time':2016-06-01 21:02:58,'Commit:'onlineDuration]{}
['Time':2016-06-01 21:16:09,'Commit:'onlineDuration]{63}
['Time':2016-06-01 21:20:14,'Commit:'onlineDuration]{252}
['Time':2016-06-01 21:30:37,'Commit:'onlineDuration]{630}
['Time':2016-06-01 21:34:51,'Commit:'onlineDuration]{252}
['Time':2016-06-01 21:59:40,'Commit:'onlineDuration]{1512}
['Time':2016-06-01 22:01:21,'Commit:'onlineDuration]{70}
['Time':2016-06-01 22:02:17,'Commit:'onlineDuration]{}
['Time':2016-06-01 22:04:18,'Commit:'onlineDuration]{70}
['Time':2016-06-01 22:48:30,'Commit:'onlineDuration]{420}
['Time':2016-06-01 23:06:43,'Commit:'onlineDuration]{2030}
['Time':2016-06-01 23:10:16,'Commit:'onlineDuration]{}
['Time':2016-06-01 23:16:42,'Commit:'onlineDuration]{630}
['Time':2016-06-01 23:19:08,'Commit:'onlineDuration]{560}
['Time':2016-06-01 23:24:08,'Commit:'onlineDuration]{490}
['Time':2016-06-01 23:34:32,'Commit:'onlineDuration]{700}
['Time':2016-06-01 23:41:38,'Commit:'onlineDuration]{490}
['Time':2016-06-01 23:45:10,'Commit:'onlineDuration]{210}
['Time':2016-06-01 23:46:24,'Commit:'onlineDuration]{70}
['Time':2016-06-01 23:58:15,'Commit:'onlineDuration]{770}
['Time':2016-06-01 23:58:26,'Commit:'onlineDuration]{}
['Time':2016-06-01 23:58:37,'Commit:'onlineDuration]{}
