['Time':2016-06-14 19:01:52,'Commit:'onlineDuration]{2450}
['Time':2016-06-14 20:23:44,'Commit:'onlineDuration]{3493}
['Time':2016-06-14 20:26:14,'Commit:'onlineDuration]{112}
['Time':2016-06-14 20:48:01,'Commit:'onlineDuration]{1176}
['Time':2016-06-14 21:16:10,'Commit:'onlineDuration]{2380}
['Time':2016-06-14 21:16:14,'Commit:'onlineDuration]{}
['Time':2016-06-14 21:19:00,'Commit:'onlineDuration]{126}
['Time':2016-06-14 21:24:23,'Commit:'onlineDuration]{315}
['Time':2016-06-14 21:27:20,'Commit:'onlineDuration]{126}
['Time':2016-06-14 21:30:34,'Commit:'onlineDuration]{189}
['Time':2016-06-14 21:30:47,'Commit:'onlineDuration]{}
['Time':2016-06-14 21:30:49,'Commit:'onlineDuration]{}
['Time':2016-06-14 21:30:52,'Commit:'onlineDuration]{}
['Time':2016-06-14 21:30:55,'Commit:'onlineDuration]{}
['Time':2016-06-14 21:36:29,'Commit:'onlineDuration]{315}
['Time':2016-06-14 21:36:31,'Commit:'onlineDuration]{}
['Time':2016-06-14 21:38:26,'Commit:'onlineDuration]{63}
['Time':2016-06-14 21:38:26,'Commit:'onlineDuration]{441}
['Time':2016-06-14 23:22:50,'Commit:'onlineDuration]{140}
['Time':2016-06-14 23:23:10,'Commit:'onlineDuration]{}
['Time':2016-06-14 23:28:41,'Commit:'onlineDuration]{490}
['Time':2016-06-14 23:28:41,'Commit:'onlineDuration]{350}
['Time':2016-06-14 23:29:05,'Commit:'onlineDuration]{}
['Time':2016-06-14 23:29:05,'Commit:'onlineDuration]{}
