['Time':2016-11-01 19:30:04,'Commit:'onlineDuration]{1029}
['Time':2016-11-01 19:30:37,'Commit:'onlineDuration]{0}
['Time':2016-11-01 21:53:51,'Commit:'onlineDuration]{1071}
['Time':2016-11-01 21:55:49,'Commit:'onlineDuration]{63}
['Time':2016-11-01 22:07:17,'Commit:'onlineDuration]{1022}
['Time':2016-11-01 22:07:55,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:08:29,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:08:52,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:10:29,'Commit:'onlineDuration]{70}
['Time':2016-11-01 22:11:06,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:11:25,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:11:40,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:12:50,'Commit:'onlineDuration]{70}
['Time':2016-11-01 22:13:48,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:14:07,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:14:27,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:16:21,'Commit:'onlineDuration]{70}
['Time':2016-11-01 22:16:57,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:17:03,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:17:47,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:25:10,'Commit:'onlineDuration]{490}
['Time':2016-11-01 22:25:49,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:26:04,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:26:56,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:27:50,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:28:11,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:29:24,'Commit:'onlineDuration]{70}
['Time':2016-11-01 22:29:32,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:34:53,'Commit:'onlineDuration]{350}
['Time':2016-11-01 22:35:04,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:36:17,'Commit:'onlineDuration]{70}
['Time':2016-11-01 22:36:43,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:37:06,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:37:20,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:37:56,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:38:10,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:38:17,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:38:45,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:38:55,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:39:29,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:40:30,'Commit:'onlineDuration]{70}
['Time':2016-11-01 22:43:14,'Commit:'onlineDuration]{140}
['Time':2016-11-01 22:54:04,'Commit:'onlineDuration]{700}
['Time':2016-11-01 22:54:24,'Commit:'onlineDuration]{0}
['Time':2016-11-01 22:57:59,'Commit:'onlineDuration]{210}
['Time':2016-11-01 23:16:32,'Commit:'onlineDuration]{1330}
['Time':2016-11-01 23:17:35,'Commit:'onlineDuration]{70}
['Time':2016-11-01 23:17:44,'Commit:'onlineDuration]{0}
['Time':2016-11-01 23:18:07,'Commit:'onlineDuration]{0}
['Time':2016-11-01 23:18:15,'Commit:'onlineDuration]{0}
['Time':2016-11-01 23:18:39,'Commit:'onlineDuration]{0}
['Time':2016-11-01 23:19:02,'Commit:'onlineDuration]{0}
['Time':2016-11-01 23:21:37,'Commit:'onlineDuration]{140}
['Time':2016-11-01 23:21:50,'Commit:'onlineDuration]{0}
['Time':2016-11-01 23:22:01,'Commit:'onlineDuration]{0}
['Time':2016-11-01 23:22:14,'Commit:'onlineDuration]{0}
['Time':2016-11-01 23:22:20,'Commit:'onlineDuration]{0}
['Time':2016-11-01 23:22:32,'Commit:'onlineDuration]{0}
['Time':2016-11-01 23:23:19,'Commit:'onlineDuration]{420}
['Time':2016-11-01 23:24:13,'Commit:'onlineDuration]{70}
['Time':2016-11-01 23:25:26,'Commit:'onlineDuration]{70}
['Time':2016-11-01 23:25:28,'Commit:'onlineDuration]{0}
