['Time':2016-06-07 21:15:58,'Commit:'onlineDuration]{126}
['Time':2016-06-07 21:51:52,'Commit:'onlineDuration]{2394}
['Time':2016-06-07 21:51:59,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:06,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:07,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:09,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:10,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:11,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:12,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:15,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:18,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:20,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:21,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:23,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:23,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:24,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:27,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:27,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:52:28,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:53:04,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:53:07,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:53:11,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:53:12,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:53:13,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:53:14,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:53:15,'Commit:'onlineDuration]{}
['Time':2016-06-07 21:53:15,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:04:00,'Commit:'onlineDuration]{1078}
['Time':2016-06-07 22:07:07,'Commit:'onlineDuration]{210}
['Time':2016-06-07 22:07:28,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:07:32,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:07:56,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:07:58,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:08:03,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:08:05,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:08:06,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:08:06,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:08:09,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:08:36,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:08:39,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:09:29,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:09:40,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:09:42,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:12:38,'Commit:'onlineDuration]{140}
['Time':2016-06-07 22:12:44,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:13:05,'Commit:'onlineDuration]{}
['Time':2016-06-07 22:13:06,'Commit:'onlineDuration]{}
