['Time':2016-06-17 18:55:13,'Commit:'onlineDuration]{840}
['Time':2016-06-17 18:55:15,'Commit:'onlineDuration]{}
['Time':2016-06-17 18:55:20,'Commit:'onlineDuration]{}
['Time':2016-06-17 18:55:34,'Commit:'onlineDuration]{}
['Time':2016-06-17 18:57:28,'Commit:'onlineDuration]{35}
['Time':2016-06-17 18:57:32,'Commit:'onlineDuration]{}
['Time':2016-06-17 18:57:37,'Commit:'onlineDuration]{}
['Time':2016-06-17 19:15:17,'Commit:'onlineDuration]{903}
['Time':2016-06-17 19:15:21,'Commit:'onlineDuration]{}
['Time':2016-06-17 19:16:11,'Commit:'onlineDuration]{}
['Time':2016-06-17 19:16:47,'Commit:'onlineDuration]{}
['Time':2016-06-17 19:17:09,'Commit:'onlineDuration]{}
['Time':2016-06-17 19:38:00,'Commit:'onlineDuration]{980}
['Time':2016-06-17 20:21:25,'Commit:'onlineDuration]{3437}
['Time':2016-06-17 20:21:31,'Commit:'onlineDuration]{}
['Time':2016-06-17 20:21:44,'Commit:'onlineDuration]{}
['Time':2016-06-17 20:22:20,'Commit:'onlineDuration]{}
['Time':2016-06-17 20:22:21,'Commit:'onlineDuration]{}
['Time':2016-06-17 20:23:45,'Commit:'onlineDuration]{56}
['Time':2016-06-17 20:24:05,'Commit:'onlineDuration]{}
['Time':2016-06-17 20:24:15,'Commit:'onlineDuration]{}
['Time':2016-06-17 20:24:27,'Commit:'onlineDuration]{}
['Time':2016-06-17 20:35:17,'Commit:'onlineDuration]{560}
['Time':2016-06-17 20:35:28,'Commit:'onlineDuration]{}
['Time':2016-06-17 20:35:31,'Commit:'onlineDuration]{}
['Time':2016-06-17 20:49:23,'Commit:'onlineDuration]{728}
['Time':2016-06-17 22:19:07,'Commit:'onlineDuration]{2128}
['Time':2016-06-17 22:20:20,'Commit:'onlineDuration]{70}
['Time':2016-06-17 22:20:33,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:20:47,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:20:54,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:21:09,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:22:29,'Commit:'onlineDuration]{70}
['Time':2016-06-17 22:23:04,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:23:08,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:23:11,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:23:20,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:23:52,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:23:55,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:23:57,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:24:09,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:24:18,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:24:31,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:25:16,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:26:18,'Commit:'onlineDuration]{420}
['Time':2016-06-17 22:26:18,'Commit:'onlineDuration]{70}
['Time':2016-06-17 22:28:00,'Commit:'onlineDuration]{}
['Time':2016-06-17 22:30:38,'Commit:'onlineDuration]{140}
['Time':2016-06-17 22:30:38,'Commit:'onlineDuration]{210}
